#X,VehDyn_Parameters->yaw.angle_Angle(abs),VehDyn_Parameters->vehicle.x_Displacement(abs),VehDyn_Parameters->vehicle.y_Displacement(abs)
#Time(sec),Angle(degrees)_Real,Length(mm)_Real,Length(mm)_Real
2.520000E+00,-234.347916,-34182.000000,11900.353516
2.530000E+00,-234.277128,-34263.964844,12008.496094
2.540000E+00,-234.191860,-34345.949219,12116.574219
2.550000E+00,-234.092576,-34427.996094,12224.570313
2.560000E+00,-233.979741,-34510.136719,12332.474609
2.570000E+00,-233.853765,-34592.406250,12440.284180
2.580000E+00,-233.715222,-34674.828125,12547.979492
2.590000E+00,-233.564193,-34757.441406,12655.557617
2.600000E+00,-233.401498,-34840.273438,12762.980469
2.610000E+00,-233.227328,-34923.351563,12870.225586
2.620000E+00,-233.041984,-35006.695313,12977.273438
2.630000E+00,-232.845985,-35090.316406,13084.080078
2.640000E+00,-232.640150,-35174.218750,13190.637695
2.650000E+00,-232.424043,-35258.441406,13296.924805
2.660000E+00,-232.197800,-35342.984375,13402.899414
2.670000E+00,-231.961666,-35427.859375,13508.538086
2.680000E+00,-231.716189,-35513.074219,13613.828125
2.690000E+00,-231.462298,-35598.632813,13718.803711
2.700000E+00,-231.200401,-35684.546875,13823.453125
2.710000E+00,-230.931127,-35770.820313,13927.746094
2.720000E+00,-230.649095,-35857.218750,14031.645508
2.730000E+00,-230.361708,-35943.824219,14135.335938
2.740000E+00,-230.070196,-36030.921875,14238.703125
2.750000E+00,-229.775432,-36118.488281,14341.713867
2.760000E+00,-229.477909,-36206.503906,14444.333008
2.770000E+00,-229.177408,-36294.964844,14546.530273
2.780000E+00,-228.873519,-36383.855469,14648.284180
2.790000E+00,-228.565847,-36473.167969,14749.576172
2.800000E+00,-228.254130,-36562.906250,14850.393555
2.810000E+00,-227.938357,-36653.066406,14950.729492
2.820000E+00,-227.618786,-36743.636719,15050.583984
2.830000E+00,-227.295787,-36834.625000,15149.960938
2.840000E+00,-226.969918,-36926.039063,15248.867188
2.850000E+00,-226.641851,-37017.875000,15347.305664
2.860000E+00,-226.312157,-37110.148438,15445.285156
2.870000E+00,-225.981235,-37202.859375,15542.798828
2.880000E+00,-225.649315,-37296.023438,15639.837891
2.890000E+00,-225.316452,-37389.644531,15736.388672
2.900000E+00,-224.982415,-37483.726563,15832.429688
2.910000E+00,-224.646971,-37578.261719,15927.942383
2.920000E+00,-224.309723,-37673.242188,16022.911133
2.930000E+00,-223.970249,-37768.656250,16117.322266
2.940000E+00,-223.628071,-37864.507813,16211.164063
2.950000E+00,-223.283050,-37960.789063,16304.434570
2.960000E+00,-222.935271,-38057.484375,16397.138672
2.970000E+00,-222.584950,-38154.597656,16489.277344
2.980000E+00,-222.232595,-38252.125000,16580.863281
2.990000E+00,-221.878832,-38350.066406,16671.904297
3.000000E+00,-221.524277,-38448.425781,16762.408203
3.010000E+00,-221.168957,-38547.218750,16852.376953
3.020000E+00,-220.812831,-38646.464844,16941.814453
3.030000E+00,-220.456035,-38746.164063,17030.707031
3.040000E+00,-220.098543,-38846.316406,17119.039063
3.050000E+00,-219.740177,-38946.917969,17206.791016
3.060000E+00,-219.380649,-39047.964844,17293.951172
3.070000E+00,-219.019414,-39149.449219,17380.503906
3.080000E+00,-218.656007,-39251.367188,17466.441406
3.090000E+00,-218.290141,-39353.703125,17551.761719
3.100000E+00,-217.921652,-39456.453125,17636.464844
3.110000E+00,-217.550664,-39559.613281,17720.552734
3.120000E+00,-217.177544,-39663.171875,17804.041016
3.130000E+00,-216.802867,-39767.132813,17886.933594
3.140000E+00,-216.427248,-39871.488281,17969.238281
3.150000E+00,-216.051328,-39976.246094,18050.955078
3.160000E+00,-215.675654,-40081.410156,18132.078125
3.170000E+00,-215.300567,-40186.976563,18212.601563
3.180000E+00,-214.926177,-40292.957031,18292.509766
3.190000E+00,-214.552375,-40399.335938,18371.791016
3.200000E+00,-214.178818,-40506.121094,18450.429688
3.210000E+00,-213.804920,-40613.300781,18528.412109
3.220000E+00,-213.430079,-40720.878906,18605.730469
3.230000E+00,-213.053777,-40828.832031,18682.380859
3.240000E+00,-212.675589,-40937.167969,18758.361328
3.250000E+00,-212.295407,-41045.871094,18833.671875
3.260000E+00,-211.911400,-41154.808594,18908.349609
3.270000E+00,-211.521792,-41263.910156,18982.445313
3.280000E+00,-211.126625,-41373.484375,19055.980469
3.290000E+00,-210.727305,-41483.546875,19128.927734
3.300000E+00,-210.325881,-41594.035156,19201.253906
3.310000E+00,-209.928118,-41704.566406,19272.951172
3.320000E+00,-209.536625,-41815.359375,19343.947266
3.330000E+00,-209.149763,-41926.460938,19414.257813
3.340000E+00,-208.766863,-42037.917969,19483.902344
3.350000E+00,-208.390902,-42149.421875,19552.880859
3.360000E+00,-208.018821,-42261.000000,19621.177734
3.370000E+00,-207.645524,-42372.902344,19688.785156
3.380000E+00,-207.267855,-42485.000000,19755.728516
3.390000E+00,-206.884927,-42597.492188,19821.984375
3.400000E+00,-206.498612,-42710.324219,19887.541016
3.410000E+00,-206.110439,-42823.472656,19952.419922
3.420000E+00,-205.721036,-42936.929688,20016.595703
3.430000E+00,-205.333368,-43050.546875,20080.076172
3.440000E+00,-204.949047,-43164.421875,20142.865234
3.450000E+00,-204.568168,-43278.566406,20204.968750
3.460000E+00,-204.191142,-43392.980469,20266.384766
3.470000E+00,-203.818391,-43507.652344,20327.125000
3.480000E+00,-203.450093,-43622.593750,20387.169922
3.490000E+00,-203.086372,-43737.792969,20446.525391
3.500000E+00,-202.726940,-43853.257813,20505.187500
3.510000E+00,-202.371292,-43968.988281,20563.152344
3.520000E+00,-202.018281,-44084.988281,20620.416016
3.530000E+00,-201.667141,-44201.257813,20676.976563
3.540000E+00,-201.317394,-44317.781250,20732.835938
3.550000E+00,-200.970038,-44434.582031,20788.013672
3.560000E+00,-200.625592,-44551.601563,20842.492188
3.570000E+00,-200.283071,-44668.941406,20896.308594
3.580000E+00,-199.942573,-44786.511719,20949.462891
3.590000E+00,-199.605694,-44904.300781,21001.964844
3.600000E+00,-199.273310,-45022.308594,21053.822266
3.610000E+00,-198.946226,-45140.531250,21105.044922
3.620000E+00,-198.624524,-45258.976563,21155.623047
3.630000E+00,-198.308436,-45377.648438,21205.562500
3.640000E+00,-197.998646,-45496.542969,21254.857422
3.650000E+00,-197.697312,-45615.769531,21303.496094
3.660000E+00,-197.407152,-45735.296875,21351.474609
3.670000E+00,-197.132688,-45855.074219,21398.820313
3.680000E+00,-196.871474,-45974.937500,21445.527344
3.690000E+00,-196.618183,-46094.964844,21491.587891
3.700000E+00,-196.372242,-46215.179688,21537.013672
3.710000E+00,-196.135944,-46335.785156,21581.849609
3.720000E+00,-195.910603,-46456.511719,21626.107422
3.730000E+00,-195.692611,-46577.386719,21669.763672
3.740000E+00,-195.479618,-46698.679688,21712.820313
3.750000E+00,-195.270505,-46820.074219,21755.269531
3.760000E+00,-195.065422,-46941.613281,21797.109375
3.770000E+00,-194.865652,-47063.296875,21838.355469
3.780000E+00,-194.671948,-47185.121094,21879.011719
3.790000E+00,-194.484528,-47307.093750,21919.074219
3.800000E+00,-194.303446,-47429.222656,21958.544922
3.810000E+00,-194.128552,-47551.515625,21997.427734
3.820000E+00,-193.959628,-47673.968750,22035.720703
3.830000E+00,-193.796359,-47796.582031,22073.431641
3.840000E+00,-193.638472,-47919.343750,22110.564453
3.850000E+00,-193.485694,-48042.250000,22147.130859
3.860000E+00,-193.337794,-48165.289063,22183.140625
3.870000E+00,-193.194660,-48288.445313,22218.605469
3.880000E+00,-193.056239,-48411.714844,22253.539063
3.890000E+00,-192.922586,-48535.089844,22287.953125
3.900000E+00,-192.793769,-48658.566406,22321.855469
3.910000E+00,-192.669938,-48782.148438,22355.255859
3.920000E+00,-192.551147,-48905.835938,22388.160156
3.930000E+00,-192.437397,-49029.636719,22420.572266
3.940000E+00,-192.328592,-49153.554688,22452.500000
3.950000E+00,-192.224555,-49277.589844,22483.949219
3.960000E+00,-192.124970,-49401.750000,22514.925781
3.970000E+00,-192.029512,-49526.027344,22545.441406
3.980000E+00,-191.937796,-49650.417969,22575.511719
3.990000E+00,-191.849441,-49774.914063,22605.148438
4.000000E+00,-191.764145,-49899.500000,22634.373047
4.010000E+00,-191.681623,-50024.171875,22663.201172
4.020000E+00,-191.601723,-50148.910156,22691.650391
4.030000E+00,-191.524351,-50273.707031,22719.738281
4.040000E+00,-191.449560,-50398.562500,22747.482422
4.050000E+00,-191.377420,-50523.468750,22774.892578
4.060000E+00,-191.308025,-50648.429688,22801.982422
4.070000E+00,-191.241472,-50773.445313,22828.763672
4.080000E+00,-191.177787,-50898.527344,22855.248047
4.090000E+00,-191.116903,-51023.679688,22881.443359
4.100000E+00,-191.058682,-51148.902344,22907.365234
4.110000E+00,-191.002948,-51274.203125,22933.025391
4.120000E+00,-190.949468,-51399.574219,22958.437500
4.130000E+00,-190.897968,-51525.015625,22983.619141
4.140000E+00,-190.848231,-51650.511719,23008.585938
4.150000E+00,-190.800050,-51776.058594,23033.353516
4.160000E+00,-190.753318,-51901.640625,23057.937500
